CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DESCRIPTION_FI,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
1,0ff90d1a-1827-4f0d-b290-f3d4e3c44b3c,VALID,Johtajat,Chefer,Managers,"Luokan yleiskuvaus: Johtavat, suunnittelevat, koordinoivat ja arvioivat yritysten, hallitusten ja muiden organisaatioidentai näiden sisäisten organisaatioyksikköjen toimintaa kokonaisuutena ja muotoilevat ja arvioivat niidenmenettelyjä, lakeja, sääntöjä ja säännöksiä. Suoriutuminen tämän pääluokan ammateissa edellyttääISCOn taitotason neljä valmiuksia lukuun ottamatta 2-numerotasoon 14 Hotelli- ja ravintola-alan, vähittäiskaupan ja muiden palvelualojen johtajat luokiteltavia ammatteja, joissa taitotasovaatimus on kolme

Luokitteluperiaatteista

Pääluokkaan 1 kuuluvat johtajat vastaavat ja tekevät päätöksiä liiketoiminnan tai organisaatioyksikön strategiasta ja operationaalisesta linjauksesta, budjetista, henkilöstön valitsemisesta, nimityksistä ja erottamisesta kokonaisuutena. Myös muihin pääluokkiin luokiteltavien, esim. päälliköiden ja esimiesten, tehtäviin voi kuulua vastaavia tehtäviä (johtamista, toisten työn suunnittelua, organisointia ja valvomista). Esimiehet voivat neuvoa ja avustaa johtoa, erityisesti henkilöstön valitsemisessa ja erottamisessa, mutta he eivät kuitenkaan ole varsinaisia päätöksentekijöitä.  Ratkaiseva ero johtajiin (pääluokka 1) on se, että päälliköt ja esimiehet ovat vastuussa vain muiden työntekijöiden työskentelystä, kun taas johtajilla on kokonaisvastuu organisaatioyksikön toiminnoista.

Pääluokkaan 1 kuuluvien johtajien pääasiallinen tehtävä on johtaminen. Pienissä yrityksissä (alle 5 työntekijää) johtaminen sekä työntekijöiden valvominen ei tavallisesti ole kenenkään pääasiallinen työtehtävä. Käytännössä kysymys on yleensä ns. omistaja-johtajasta, joka osallistuu yrityksen tuotanto- tai palvelutoimintaan; heidät luokitellaan sen ammatin mukaiseen luokkaan, johon työtehtävät liittyvät.

Tehtäviin kuuluu yleensä: yritysten, hallitusten ja muiden organisaatioyksikköjen menettelyjen, budjettien, lakien ja säännösten muotoileminen ja niihin liittyvä neuvonanto, niiden toteuttamiseen liittyvien tavoitteiden ja standardien laatiminen ja ohjelmien, menettelyjen ja menettelytapojen muotoileminen ja arviointi, budjetin hallitsemisen kannalta tarkoituksenmukaisten järjestelmien ja menetelmien kehittämisen varmistaminen, menettelyjen ja ohjelmien toteuttamisessa tarvittavien materiaali-, henkilö-, ja taloudellisten resurssien käytön valtuuttaminen, organisaation tai yrityksen ja sen henkilöstön suoriutumisen valvonta ja arviointi, henkilöstön valitseminen tai henkilöstövalintojen hyväksyminen, terveys- ja turvamääräysten noudattamisen varmistaminen, hallituksen, yrityksen tai johtamansa organisaatioyksikön edustaminen ja tämän puolesta neuvotteleminen kokouksissa ja muilla foorumeilla.
 Tähän kuuluu: - 11 Johtajat, ylimmät virkamiehet ja järjestöjen johtajat
- 12 Hallintojohtajat ja kaupalliset johtajat
- 13 Tuotantotoiminnan ja yhteiskunnan peruspalvelujen johtajat
- 14 Hotelli- ja ravintola-alan, vähittäiskaupan ja muiden palvelualojen johtajat Tähän ei kuulu: ",,,2010-01-01,
11,fe971a44-8a26-4933-93c1-9ccdc52e5f5e,VALID,"Johtajat, ylimmät virkamiehet ja järjestöjen johtajat","Chefer, högre tjänstemän och organisationschefer","Chief executives, senior officials and legislators","Luokan yleiskuvaus: Määrittelevät ja tarkistavat harjoitettavan politiikan sekä johtavat, suunnittelevat, koordinoivat ja arvioivat yritysten, hallinto- ja muiden organisaatioiden toimintaa kokonaisuudessaan yhdessä muiden johtajien kanssa. Suoriutuminen useimmissa tämän 2-numerotason ammateissa edellyttää ISCOn taitotason neljä valmiuksia.

Tehtäviin kuuluu yleensä: johtavat tai osallistuvat lakeja säätävien toimielinten, hallintoneuvostojen ja komiteoiden työskentelyyn; muotoilevat yritysten, hallinto- ja muiden organisaatioiden tulo- ja menoarvioita, niitä koskevia lakeja ja säädöksiä sekä antavat neuvoja näissä asioissa; asettavat tavoitteita yrityksille, julkisen hallinnon yksiköille ja muille organisaatioille; muotoilevat tai hyväksyvät ja arvioivat toimintapolitiikkaa ja menettelytapoja; turvaavat, että budjettikontrollin kannalta tarkoituksenmukaisia järjestelmiä ja menettelytapoja kehitetään ja otetaan käyttöön; vahvistavat materiaali-, työvoima-, ja rahavarat toiminnan ja ohjelmien toteuttamiseen; valvovat ja arvioivat organisaatioiden ja yritysten suoriutumista; valitsevat tai hyväksyvät johtavien virkamiesten tai toimihenkilöiden valinnat; hoitavat seremoniallisia tehtäviä sekä edustavat yritystä, julkista hallintoa, organisaatiota tai yhteisöä virallisissa tilaisuuksissa, kokouksissa, neuvotteluissa ja muilla foorumeilla. Tähän kuuluu: - 111 Ylimmät virkamiehet ja järjestöjen johtajat
- 112 Toimitusjohtajat ja pääjohtajat Tähän ei kuulu: ",,,2010-01-01,
111,e63cb9cc-de7a-4181-9978-e852b0675917,VALID,Ylimmät virkamiehet ja järjestöjen johtajat,Högre tjänstemän och organisationschefer,Legislators and senior officials,"Luokan yleiskuvaus: Johtavat, määrittelevät ja muotoilevat kansallisen, valtiollisen, alueellisen ja paikallishallinnon tai etujärjestöjen toimintaa. Laativat, ratifioivat, muuttavat tai kumoavat lakeja, johtosääntöjä ja säädöksiä sekä suunnittelevat, organisoivat, johtavat, valvovat ja arvioivat hallinnon yksikköjen, kuntien ja etujärjestöjen toimintaa kokonaisuutena.

Tehtäviin kuuluu yleensä: johtavat tai osallistuvat lakia säätävien toimielinten ja hallintoneuvostojen, lainsäädäntötyöryhmien, kuntien ja etujärjestöjen työskentelyyn; tuottavat palveluita julkisen hallinnon toimielimille ja komiteoille; ottavat selvää yhteiskunnallisesti merkittävistä asioista; asettavat tavoitteita hallinnon toiminnalle, budjeteille, laeille ja säädöksille sekä antavat näitä koskevia neuvoja; asettavat tavoitteita organisaatioille sekä muotoilevat ja hyväksyvät toimintaohjelmia ja politiikkoja sekä menettelyt niiden käyttöön ottamiselle; suosittelevat, arvioivat ja hyväksyvät asiakirjoja, selontekoja ja raportteja; turvaavat asianmukaisten järjestelmien ja menettelytapojen kehittämisen ja käyttöönoton budjettikontrollin toteuttamiseksi; edustavat yritystä, julkista hallintoa, organisaatiota tai yhteisöä virallisissa tilaisuuksissa, kokouksissa, neuvotteluissa ja muilla foorumeilla. Tähän kuuluu: - 1111 Lainsäätäjät
- 1112 Julkishallinnon ylimmät virkamiehet
- 1113 Heimo- ja kyläpäälliköt
- 1114 Järjestöjen johtajat Tähän ei kuulu: ",,,2010-01-01,
1111,75c8ec6f-7f67-4e89-aa18-6cb9fc40a244,VALID,Lainsäätäjät,Lagstiftare,Legislators,"Luokan yleiskuvaus: Johtavat, määrittelevät ja muotoilevat kansallisten, valtiollisten, alueellisten, paikallishallinnon ja hallinnon kansainvälisten elinten toimintaa; laativat, ratifioivat, muuttavat ja kumoavat lakeja, toimintasääntöjä ja säädöksiä.

Tehtäviä:
- kansallisten, alueellisten ja paikallisten hallitusten ja lakiasäätävien kokousten, lainsäädäntöelinten ja ylempien hallintoelinten toiminnan johtaminen tai siihen osallistuminen
- kansallisten, alueellisten tai paikallisten hallitusten tai hallintoelinten menettelyjen määrittäminen, muotoilu ja ohjaaminen
- lakien ja yleisten määräysten ja sääntöjen laatiminen, ratifioiminen, muuttaminen tai kumoaminen perustuslain puitteissa
- toimiminen valtion ylemmissä hallintoelimissä tai virallisissa komiteoissa
- kansaa koskevien asioiden tutkiminen ja edustamiensa valitsijoiden edunvalvonta
- paikallisesti järjestettäviin tapahtumiin ja kokouksiin osallistuminen
- neuvotteleminen muiden lainsäätäjien ja eturyhmien edustajien kanssa eturistiriitojen sovittamiseksi, menettelyjen luomiseksi ja sopimusten laatimiseksi
- osallistuminen hallituksen jäseninä, johtavina vanhempina hallintovirkamiehinä ja ministeriöiden ja valtion virastojen virkamiehinä hallituksen politiikoiden tulkitsemiseen ja toteuttamiseen

Esimerkkejä:
- ministeri
- kansanedustaja Tähän kuuluu:  Tähän ei kuulu: - kaupunginjohtaja (11122)",,,2010-01-01,
1112,b4bac6c7-9680-4a93-a9ea-b6fa050032af,VALID,Julkishallinnon ylimmät virkamiehet,Högre tjänstemän inom offentlig förvaltning,Senior government officials,"Luokan yleiskuvaus: Toimivat neuvonantajina harjoitettua politiikkaa koskevissa asioissa, johtavat ministeriöiden ja valtion virastojen toimintaa näiden tulkitessa ja toteuttaessa hallintoa ja lainsäädäntöä, edustavat maataan ulkomailla ja toimivat maansa nimissä tai toimivat samanlaisissa tehtävissä hallitustenvälisissä organisaatioissa.  Johtavat, suunnittelevat, organisoivat ja arvioivat kunnallisen, aluehallinnon tai keskushallinnon yksiköiden ja toimikuntien toimintaa kokonaisuutena lainsäädännön ja valtion tai lainsäädännöllisten toimielinten laatimien lakien ja politiikoiden mukaisesti.

Tehtäviä:
- neuvonanto kansallisille, alueellisille tai paikallisille hallituksille tai muille hallintoelimille ja lainsäätäjille politiikkaa koskevissa asioissa
- neuvonanto valtion budjettien, lakien ja asetusten ja näihin tehtävien muutosten valmistelussa
- tavoitteiden määrittäminen ministeriöille tai valtion virastoille lainsäädännön ja politiikoiden mukaisesti
- hallitusohjelmien ja menettelytapojen muotoileminen ja hyväksyminen eriasteisessa yhteistyössä hallituksen kanssa
- keskijohdon ja ylemmän henkilöstön jäsenten laatimien asiakirjojen, selontekojen ja raporttien suositteleminen, arviointi ja hyväksyminen
- budjetin hallintaan tarvittavien järjestelmien ja menetelmien kehittämisen ja toteuttamisen varmistaminen
- toimintojen koordinointi muun ylemmän johdon ja virkamiehistön kanssa
- hallitusohjelmia tai budjetteja koskevien esitysten tekeminen lakiasäätäville ja muille hallituksen komiteoille
- ministeriöiden ja valtion virastojen toiminnan valvonta näiden tulkitessa ja toteuttaessa hallituspolitiikkaa ja lainsäädäntöä

Esimerkkejä:
- kansliapäällikkö (valtio)
- kaupunginjohtaja
- kunnanjohtaja
- maakuntajohtaja
- poliisikomentaja
- poliisiylitarkastaja (valtio)
- pääjohtaja (valtio)
- pääkonsuli
- suurlähettiläs
- valtiosihteeri
- ylijohtaja (aluehallintovirasto)
- ylijohtaja (valtio)
 Tähän kuuluu: - 11121 Valtion keskushallinnon johtajat
- 11122 Alue- ja paikallishallinnon johtajat ja ylimmät virkamiehet Tähän ei kuulu: -  pääsihteeri (kv-järjestö) (11142)
-  pääsihteeri (komitea, neuvottelukunta) (2422)
",,,2010-01-01,
11121,7e2bf037-aa5e-4a61-b0a7-6b1878f71e49,VALID,Valtion keskushallinnon johtajat,Direktörer inom statens centralförvaltning,Senior central government officials,"Luokan yleiskuvaus: Johtavat ministeriöitä tai muita valtion keskushallinnon yksiköitä, toimeenpanevat lakeja ja asetuksia, suunnittelevat yhteiskuntapoliittisia toimenpiteitä ym. Edustavat maataan ulkomailla ja toimivat maansa nimissä tai toimivat samanlaisissa tehtävissä hallitustenvälisissä organisaatioissa. Tähän kuuluu:  Tähän ei kuulu: ",,,2010-01-01,
11122,948340f7-9a6a-47b8-9ecc-636fdf3b31c8,VALID,Alue- ja paikallishallinnon johtajat ja ylimmät virkamiehet,Direktörer och högre tjänstemän inom statlig distrikts- och lokalförvaltning,Senior district and local government officials and senior officials,"Luokan yleiskuvaus: Johtavat ja vastaavat alue- ja paikallishallinnosta, taloudenhoidosta ja palvelujen tuottamisesta, valmistelevat ja toimeenpanevat hallinnollisia päätöksiä ym. Tähän kuuluu:  Tähän ei kuulu: ",,,2010-01-01,
1113,341fa660-1300-4f6d-8cee-2183a3392ebf,VALID,Heimo- ja kyläpäälliköt,Stam- och byhövdingar,Traditional chiefs and heads of village,Luokan yleiskuvaus: Tämä luokka ei ole käytössä Suomessa. Tähän kuuluu:  Tähän ei kuulu: ,,,2010-01-01,
1114,82952b0c-ab3c-414d-a1de-8cc50f94bc10,VALID,Järjestöjen johtajat,Ledare i organisationssektorn,Senior officials of special-interest organizations,"Luokan yleiskuvaus: Määrittävät ja muotoilevat toimintaperiaatteita ja johtavat niiden toteuttamista edunvalvontajärjestöissä, kuten poliittisissa puolueissa, ammattiliitoissa, työnantajajärjestöissä, alakohtaisissa liitoissa, humanitaarisissa ja avustusjärjestöissä tai urheiluliitoissa ja edustavat näitä organisaatioita ja toimivat näiden puolesta.

Tehtäviä:
- organisaation menettelytapojen ja sääntöjen määrittäminen ja muotoileminen
- organisaation yleisen toiminnan suunnittelu, johtaminen ja koordinointi
- organisaation toiminnan raportointi hallitukselle, muille johto- tai hallintoelimille ja organisaation jäsen- ja rahoittajajärjestöille
- neuvotteleminen organisaation, sen jäsenten ja eturyhmien puolesta
- organisaation, sen jäsenten ja eturyhmien edunvalvonta
- organisaation menettelytapojen, ohjelmien ja sääntöjen toteuttamisesta vastaavien osastojen ja jaostojen toiminnan suunnittelu, organisointi ja johtaminen
- budjetin hallintaan tarvittavien järjestelmien ja menetelmien kehittämisen ja toteuttamisen varmistaminen
- organisaation edustaminen virallisissa yhteyksissä, neuvotteluissa, kokoustapahtumissa, seminaareissa, julkisissa kuulemisissa ja foorumeilla

Esimerkkejä:
- puheenjohtaja (työmarkkinajärjestö)
- puoluesihteeri
- piirijohtaja (pl. työmarkkina- ja elinkeinojärjestö)
- toiminnanjohtaja (puolue) Tähän kuuluu: - 11141 Työmarkkina- ja elinkeinoelämän järjestöjenjohtajat
- 11142 Muiden järjestöjen johtajat Tähän ei kuulu: - neuvottelupäällikkö (työmarkkina- ja muu järjestö) (2619)",,,2010-01-01,
11141,67abdcdd-9c30-48aa-9e94-0e679bac6c7a,VALID,Työmarkkina- ja elinkeinoelämän järjestöjen johtajat,Chefer i arbetsmarknads- och näringslivsorganisationer,"Senior officials of employers', workers' and other economic-interest organisations",Luokan yleiskuvaus: Johtavat työmarkkinajärjestöjen tai muiden taloudellisten järjestöjen toimintaa. Tähän kuuluu:  Tähän ei kuulu: ,,,2010-01-01,
11142,d81535fa-1e09-47ca-a8ab-5c87ae637d9c,VALID,Muiden järjestöjen johtajat,Chefer i andra organisationer,Senior officials of humanitarian and other special-interest organisations,"Luokan yleiskuvaus: Johtavat poliittisten, humanitaaristen tai muiden vastaavienjärjestöjen toimintaa. Tähän kuuluu:  Tähän ei kuulu: ",,,2010-01-01,
112,fb2bcdcd-1277-4b1a-909a-3e5abc1fce4b,VALID,Toimitusjohtajat ja pääjohtajat,Verkställande direktörer och verkschefer,Managing directors and chief executives,"Luokan yleiskuvaus: Johtavat ja arvioivat yritysten tai organisaatioiden liiketoimintaa sekä suunnittelevat, koordinoivat ja kehittävät toimintaa kokonaisuutena yhdessä muun johdon kanssa, niiden linjausten mukaisesti, jotka yritysten tai yhteisöjen hallitukset tai muut johto- tai hallintoelimet ovat asettaneet, ja joille ne ovat vastuussa toiminnasta ja sen tuloksista. Tähän kuuluvat sellaisten yritysten toimitusjohtajat ja pääjohtajat, joiden yrityksissä on useampia johtamisen tasoja. Tähän ei lueta julkisen hallinnon eikä järjestöjen ylintä johtoa (pääjohtajia ja vastaavia).

Tehtäviin kuuluu yleensä: yrityksen tai yhteisön liiketoiminnan suunnittelu, johtaminen ja koordinointi; toiminnan ja sen tulosten arviointi sekä raportointi hallitukselle ja muille johto- tai hallintoelimille; yrityksen tai yhteisön tavoitteiden, strategioiden, menettelyjen ja ohjelmien määrittäminen; yrityksen tai yhteisön toiminnan ja liiketoiminnan johtaminen; budjettien laatiminen ja hallinta, menojen hallinta ja resurssien tehokkaan käytön varmistaminen; materiaali-, henkilö- ja rahoitusresurssien käytön hyväksyminen toimintatavoitteiden ja ohjelmien toteuttamiseksi; organisaation tai yrityksen suorituskyvyn arviointi ja kehittäminen suhteessa asetettuihin tavoitteisiin ja toimintaohjelmaan; konsultointi ylempien toimihenkilöiden kanssa sekä suositusten ja raporttien käsittely; organisaation edustaminen virallisissa yhteyksissä, neuvotteluissa, kokoustapahtumissa, seminaareissa, julkisissa kuulemisissa ym.; johtavien toimihenkilöiden valitseminen tai valintojen hyväksyminen; organisaation toiminnan lain- ja määräystenmukaisuuden varmistaminen. Tähän kuuluu: - 1120 Toimitusjohtajat ja pääjohtajat Tähän ei kuulu: ",,,2010-01-01,
1120,b927d7cb-5a0a-4665-be61-315ba6012e17,VALID,Toimitusjohtajat ja pääjohtajat,Verkställande direktörer och verkschefer,Managing directors and chief executives,"Luokan yleiskuvaus: Johtavat ja arvioivat yritysten tai organisaatioiden liiketoimintaa sekä suunnittelevat, koordinoivat ja kehittävät toimintaa kokonaisuutena yhdessä muun johdon kanssa, niiden linjausten mukaisesti, jotka yritysten tai yhteisöjen hallitukset tai muut johto- tai hallintoelimet ovat asettaneet, ja joille ne ovat vastuussa toiminnasta ja sen tuloksista. Tähän ei lueta julkisen hallinnon eikä järjestöjen ylintä johtoa (pääjohtajia ja vastaavia).

Tähän luetaan sellaisten yritysten toimitusjohtajat ja pääjohtajat, joiden yrityksissä on useampia johtamisen tasoja. Yleensä kyseessä ovat yritykset, joissa on vähintään 50 työntekijää.

Sellaiset toimitusjohtajat, jotka työskentelevät yrityksissä joissa ei ole useampia johtajatasoja, luokitellaan muihin pääluokan 1 luokkiin, 13 Tuotantotoiminnan ja yhteiskunnan peruspalvelujen johtajat tai 14 Hotelli- ja ravintola-alan, vähittäiskaupan ja muiden palvelualojen johtajat. Yleensä kyseessä ovat yritykset, joissa on yli 5 työntekijää. Tätä pienemmissä yrityksissä johtaminen vain harvoin voi olla kenenkään pääasiallinen tehtävä.

Tähän ei lueta sellaisia toimitusjohtajia ja yrittäjiä, joiden työssä johtaminen ja liikkeenhoito eivät ole pääasiallinen tehtävä, vaan jotka osallistuvat yrityksen tuotanto- tai palvelutoimintaan. Yleensä kysymys on pienistä yrityksistä ja siitä, että yrittäjä itse osallistuu merkittävällä panoksella tuotanto- tai palvelutoimintaan. Yrityksen omistaminen ja yrittäjyys eivät sinänsä vaikuta siihen, ketkä luokitellaan (luokkaan) 1120 Toimitusjohtajat ja pääjohtajat, vaan ratkaisevassa asemassa ovat työtehtävät, joita henkilö tekee. Näissä tapauksissa yrittäjä luokitellaan yleensä sen ammatin mukaiseen luokkaan, johon työtehtävät liittyvät (esimerkiksi kampaajiin, taksinkuljettajiin, jne.).

Tehtäviä:
- yrityksen tai yhteisön liiketoiminnan suunnittelu, johtaminen ja koordinointi
- toiminnan ja sen tulosten arviointi sekä raportointi hallitukselle ja muille johto- tai hallintoelimille
- tavoitteiden, strategioiden, menettelyjen ja ohjelmien määrittäminen
- yrityksen tai yhteisön toiminnan ja liiketoiminnan johtaminen
- budjettien laatiminen ja hallinta, menojen hallinta ja resurssien tehokkaan käytön varmistaminen
- materiaali-, henkilö- ja rahoitusresurssien käytön hyväksyminen toimintatavoitteiden ja ohjelmien toteuttamiseksi
- organisaation tai yrityksen suorituskyvyn arviointi ja kehittäminen suhteessa asetettuihin tavoitteisiin ja toimintaohjelmaan
- konsultointi ylempien toimihenkilöiden kanssa sekä suositusten ja raporttien käsitteleminen
- organisaation edustaminen virallisissa yhteyksissä, neuvotteluissa, kokoustapahtumissa, seminaareissa, julkisissa kuulemisissa ym.
- johtavien toimihenkilöiden valitseminen tai valintojen hyväksyminen
- organisaation toiminnan lain- ja määräystenmukaisuuden varmistaminen

Esimerkkejä:
- pääjohtaja (yritys)
- toimitusjohtaja (suuri yritys)
- maajohtaja
- toimitusjohtaja (valtio-omisteinen yritys) Tähän kuuluu:  Tähän ei kuulu: - pääjohtaja (valtio) (11121)
- toimitusjohtaja (rakennusalan pieni tai keskisuuri yritys, liikkeenjohto) (1323)
- mainostoimiston johtaja (liikkeenjohto) (1222)

Luokittelusäännöistä:

Tähän kuuluvat myös organisaatioiden ylimpään johtoon kuuluvat maa- ja aluejohtajat, jotka koordinoivat ja ohjaavat alaistensa, eri toiminnoista vastuussa olevien johtajien työtä sekä valtio-omisteisten yritysten pääjohtajat.  Myös yritysten hallitustyöskentelyn jäsenet luokitellaan tähän luokkaan, ts. toimenkuvat, joissa keskeisimpänä vastuuna on toimia yhden tai useamman yrityksen tai muun yhteisön hallituksen jäsenenä tai johdossa.

Tähän ei kuitenkaan luokitella aluejohtajia, jotka vastaavat rajatusta toiminnallisesta alueesta kuten myynnistä, markkinoinnista, hankinnoista jne. Esimerkiksi aluemyyntijohtajat luokitellaan 4-numerotason luokkaan 1221 Myynti- ja markkinointijohtajat.",,,2010-01-01,
12,6e509443-59fc-4775-92ab-df8c9298a567,VALID,Hallintojohtajat ja kaupalliset johtajat,Administrativa och kommersiella chefer,Administrative and commercial managers,"Luokan yleiskuvaus: Johtavat, suunnittelevat, organisoivat, valvovat ja koordinoivat rahoitus-, hallinto-, henkilöstö- ja toimintapolitiikkaa; suunnittelu-, tutkimus- ja kehittämistoimintaa; mainontaa, myyntiä, pr-toimintaa jne. yrityksessä tai yhteisössä tai tuottavat vastaavia palveluja muille yrityksille tai yhteisöille. Suoriutuminen useimmissa tämän 2-numerotason ammateissa edellyttää ISCOn taitotason neljä valmiuksia.

Tehtäviin kuuluu yleensä: strategista ja taloudellista suunnittelua koskevien tavoitteiden muotoilu ja johtaminen; toiminnan ja hallinnon menettelytapojen määrittely ja ohjaaminen; strategioiden ja toiminnan tavoitteiden täytäntöönpano, seuraaminen ja kehittäminen; asiantuntijalausuntojen antaminen ylimmälle johdolle; uusia tuotteita, markkinointia, tiedottamista ja mainoskampanjoita koskevien kehitysaloitteiden johtaminen; määrittelevät ja ohjaavat myyntitoimintaa, tuotevalikoimaa ja kuluttajapalvelun standardeja; hinnoittelu- ja luottosopimukset; varmistavat, että lakeja, säädöksiä ja standardeja noudatetaan; valvovat henkilöstön valintoja, koulutusta ja suorituksia; valmistelevat tulo- ja menoarvioita sekä valvovat rahoitustoimintaa; konsultoivat johdon ja eri yksikköjen johtajien kanssa; valvovat menoja ja varmistavat resurssien tehokkaan käytön; edustavat yritystä tai yhteisöä neuvotteluissa, laadittaessa sopimuksia, seminaareissa, julkisissa kuulemisissa ja erilaisilla foorumeilla. Tähän kuuluu: - 121 Liiketoiminta- ja hallintojohtajat
- 122 Myynti-, markkinointi- ja kehitysjohtajat Tähän ei kuulu: ",,,2010-01-01,
