CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DESCRIPTION_FI,DESCRIPTION_SV,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
A33,ed8e7a99-5ef3-452b-b779-c387d2ffb18a,VALID,Puistot,Parker,Parks,"Puisto on maapohjan ja kasvillisuuden osalta puistomaisesti hoidettu ja rakennettu viheralue, joka on tarkoitettu yleiseen virkistys- ja vapaa-ajankäyttöön. Puistoksi luetaan myös alueeseen sisältyvät lammikot ja muut pienet vesialueet sekä puistoalueen käyttöä välittömästi palvelevat muut alueet kuten leikkikentät, kulkuväylät ja vastaavat.

Puistoja ovat yleensä taajamissa tai niiden läheisyydessä sijaitsevat, puistomaisesti hoidetut ja/tai erikseen puistoksi rakennetut viheralueet. Puistoissa on usein kukka-, koristekasvi- ym. istutuksia ja niiden nurmialueita hoidetaan säännöllisesti. Myös kasvitieteelliset puutarhat kasvihuoneineen luetaan puistoksi.

Tähän eivät kuulu:

Yksityiset kartanopuistot ja vastaavat (kuuluvat luokkaan A12. Pientaloalueet (tonttimaa)).

Suojaviheralueet ja muut erityisviheralueet (kuuluvat luokkaan F2. Erityismetsät).

Arboretumit eli puulajipuistot (kuuluvat luokkaan F2. Erityismetsät).","En park är ett grönområde som är parkmässigt byggt och där marken och växtligheten är parkmässigt skötta. Området är avsett för allmän rekreation och allmänt fritidsbruk. Som park betraktas också dammar och andra små vattenområden inom området samt andra områden som omedelbart betjänar användningen av parkområdet, såsom lekparker, gångvägar och motsvarande.

Parker är i allmänhet grönområden som är belägna i eller i närheten av tätorter och sköts som parker och/eller är byggda enkom som parker. Parker innehåller ofta blom- och prydnadsväxtplanteringar och andra planteringar och gräsmattorna sköts regelbundet. Också botaniska trädgårdar med växthus räknas till parker.

Till klassen hör inte:

Privata herrgårdsparker och motsvarande (de hör till klassen A12. Småhusområden (tomtmark)).

Skyddsgrönområden och andra särskilda grönområden (de hör till klassen F2. Specialskogar).

Arboretum, dvs. träslagsparker (de hör till klassen F2. Specialskogar).",,,2000-05-01,
A34,156c1153-06c2-489d-a726-0405b6bf0942,VALID,Virkistys- ja ulkoilualueet,Rekreations- och strövområden,Recreation and outdoor areas,"Virkistys- ja ulkoilualueet ovat alueita, joiden ensisijainen käyttötapa tai käyttötarkoitus on tarjota ympäristö omatoimiseen virkistys- ja liikuntaharrastukseen.

Virkistys- ja ulkoilualueet ovat ei-puistomaisesti hoidettuja luonnonalueita. Alueella voi olla erikseen rakennettuja polkuja, pururatoja, laavuja, nuotiopaikkoja tms. alueen käyttöä edistäviä kevyitä rakenteita. Alueet voivat olla rajoitetun metsätalouskäytön piirissä, mutta ensisijainen käyttötarkoitus on virkistys- ja ulkoilukäyttö.

Virkistys- ja ulkoilualueeksi luetaan mm.

- Metsähallituksen ja kuntien virkistysmetsät

- Valtion retkeilyalueet

- Taajamien lähivirkistys-, retkeily- ja ulkoilualueet lukuunottamatta puistomaisesti hoidettuja alueita

Tähän eivät kuulu:

Alueet, joita voidaan pitää urheilu- ja virkistyspalveluiden alueena: erikseen rakennetut urheilukentät ja vastaavat (kuuluvat luokkaan A32. Urheilu- ja virkistyspalveluiden alueet).

Telttailu- ja leirintäalueet, uimarannat (kuuluvat luokkaan A22. Matkailupalvelujen ja lomailun alueet).

Monikäyttömetsät, joiden ensisijainen käyttötapa on metsätalouden harjoittaminen (kuuluvat luokkaan F1. Talousmetsät).","Rekreations- och strövområden är områden där det dominerande användningssyftet är att erbjuda miljö för rekreations- och motionshobbyer på eget initiativ.

Rekreations- och strövområden är naturområden som inte sköts som parker. Det kan finnas byggda stigar, spånbanor, vindskydd (tältkåtor), ställen för uppgörande av eld e.d. lätta konstruktioner som främjar användningen av området. Rekreations- och strövområden kan omfattas av begränsad skogsbruksanvändning, men det primära användningssyftet är rekreation och friluftsliv.

Som rekreations- och strövområden räknas bl.a.

- Forststyrelsens och kommuners rekreationsskogar

- Statens friluftsområden

- Närrekreations-, frilufts- och strövområden i tätorter med undantag av områden som sköts som parker

Till klassen hör inte:

Områden som kan betraktas som områden för idrotts- och rekreationsanläggningar: idrottsplaner och motsvarande som enkom byggts för ändamålet (de hör till klassen A32. Områden för idrotts- och rekreationsanläggningar).

Tält- och campingområden, badstränder (de hör till klassen A22. Områden för turist- och fritidsanläggningar).

Skogsområden med mångbruk där det primära användningssyftet är att bedriva skogsbruk (de hör till klassen F1. Ekonomiskogar).",,,2000-05-01,
B,d79dd9c0-166f-4694-bd65-a39ccc5edfe8,VALID,"Liiketoiminnan, hallinnon ja teollisuuden alueet","Områden för affärsverksamhet, förvaltning och industri","Business, administrative and industrial areas",,,,,2000-05-01,
B1,dc1825cb-643c-4743-85d2-3740062b56bc,VALID,Liiketoiminnan ja hallinnon alueet,Områden för affärsverksamhet och förvaltning,Business and administrative areas,,,,,2000-05-01,
B11,503949bc-b21f-445e-9b7c-a825c2aba758,VALID,Liike- ja toimistorakennusten alueet,Områden för affärs- och kontorsbyggnader,Business and office building areas,"Liike- ja toimistorakennusten alue on rakennettu alue, jossa rakennusten vallitseva käyttötapa tai käyttötarkoitus on liiketoiminnan tai palveluelinkeinon harjoittaminen taikka toimistokäyttö. Liike- ja toimistorakennusten alueeksi luetaan rakennukset alla olevine maa-alueineen sekä näiden käyttöä välittömästi palvelevat piha-alueet, kuten esimerkiksi paikoitusalueet rakennuksineen.

Liikerakennusten alueeksi luetaan mm. alueet, jolla harjoitetaan tukku- ja vähittäiskauppaa, majoitus- ja ravitsemustoimintaa, kuljetus-, tietoliikenne-, rahoitus- tai vuokraustoimintaa. Liikerakennuksissa on yleensä asiakaspalvelutiloja asiakaspalvelua varten.

Toimistorakennusten alueeksi luetaan mm. yhtiöiden pääkonttorit ja vastaavat pääosin toimistotiloja sisältävät rakennukset.

Tähän eivät kuulu:

Lomamökkikylät tms. vaikka tarjoaisivatkin majoituspalveluja (kuuluvat luokkaan A22. Matkailupalvelujen ja lomailun alueet).

Viihdepalveluita tarjoavat alueet: huvipuistot tms. (kuuluvat luokkaan A31. Huvi- ja viihdepalvelujen alueet).

Nähtävyydet, joiden yhteydessä on palvelutoimintaa, kuten esimerkiksi Olavinlinna (kuuluvat luokkaan B12. Yleisten rakennusten alueet).","Ett område för affärs- och kontorsbyggnader är ett bebyggt område där det dominerande användningssättet eller -syftet är kontorsbruk eller att bedriva affärsverksamhet eller tjänstenäring. Som områden för affärs- och kontorsbyggnader betraktas byggnader med underliggande markområden samt gårdsområden som omedelbart betjänar användningen av byggnaderna, såsom parkeringsområden med byggnader.

Som områden för affärsbyggnader betraktas bl.a. områden där man bedriver parti- och detaljhandel, hotell- och restaurangverksamhet, transport, datakommunikation, finansiering eller uthyrning. Affärsbyggnader innehåller i allmänhet utrymmen för kundbetjäning.

Som områden för kontorsbyggnader räknas bl.a. bolagens huvudkontor och motsvarande byggnader som främst har kontorsutrymmen.

Till klassen hör inte:

Semesterstugsbyar e.d. även om de erbjuder inkvarteringstjänster (de hör till klassen A22. Områden för turist- och fritidsanläggningar).

Områden som erbjuder underhållningstjänster: nöjesparker e.d. (de hör till klassen A31. Områden för nöjes- och underhållningstjänster).

Sevärdheter med anknytande tjänsteverksamhet, t.ex. Olofsborg (de hör till klassen B12. Områden för allmänna byggnader).",,,2000-05-01,
B12,09612a32-5aa4-4bdb-b364-0382156b9937,VALID,Yleisten rakennusten alueet,Områden för allmänna byggnader,Public building areas,"Yleisten rakennusten alue on rakennettu alue, jonka vallitseva käyttötapa tai käyttötarkoitus on julkisten palveluiden tarjoaminen.

Yleisten rakennusten alueeksi luetaan alueet, joilla tarjotaan mm. terveydenhuolto-, vanhusten- ja lastenhoitopalveluja tai joilla harjoitetaan kulttuuri-, opetus-, koulutus- ja tutkimus- tai uskonnollista toimintaa (kirkot, sairaalat, vankilat, päiväkodit, koulut, museot tms.). Myös maanpuolustus-, palo- ja pelastustoimeen sekä yleiseen järjestykseen ja ulkoasiainhallintoon liittyvät toiminnot luetaan yleisten rakennusten alueeksi.","Områden för allmänna byggnader är bebyggda områden, där det dominerande användningssättet eller -syftet är att erbjuda offentliga tjänster.

Som områden för allmänna byggnader betraktas områden där man erbjuder bl.a. hälsovårds-, åldringsvårds- och barnavårdstjänster eller där man bedriver kultur-, undervisnings-, utbildnings- och forskningsverksamhet eller religiös verksamhet (kyrkor, sjukhus, fängelser, daghem, skolor, museer e.d.). Också funktioner som är förknippade med försvars-, brand- och räddningsväsendet samt allmän ordning och utrikesförvaltning betraktas som områden för allmänna byggnader.",,,2000-05-01,
B2,aebbd94c-102e-46f2-a039-ed4842baaa5c,VALID,Teollisuus- ja varastoalueet,Industri- och lagerområden,Industrial and storage areas,"Teollisuus- ja varastoalue on alue, jolla sijaitsee teollisuustiloja kuten tehtaita tai teollisuushalleja niihin liittyvine varastoalueineen ja aputiloineen, ja jolla harjoitetaan tai jolla voidaan harjoittaa teollista toimintaa. Teolliseksi toiminnaksi luetaan NACE-toimialaluokituksen pääluokkaan D liittyvän toiminnan harjoittaminen.

Teollisuus- ja varastoalueeksi luetaan myös teollista toimintaa palvelevat erilliset varastoalueet, jotka on tarkoitettu teollisuuden käyttämien raaka-aineiden tai sen tuottamien puolivalmisteiden ja lopputuotteiden tms. säilytyspaikaksi. 

Teolliseksi toiminnaksi luetaan mm. elintarvikkeiden, tekstiilien, puu- ja paperituotteiden, polttoaineiden, kemikaalien, kumi- ja muovituotteiden, metallituotteiden, ei-metallisten mineraalituotteiden, koneiden ja kulkuneuvojen, sähköteknisten ja optisten laitteiden sekä komponenttien, graafisten tuotteiden, atk- sekä kuva- ja äänitallenteiden valmistus.

Teolliseksi toiminnaksi ei lasketa raaka-aineiden tuottamista esimerkiksi malmien ja mineraalien kaivamista tai louhimista (niiden jatkojalostus sen sijaan kyllä).

Varastoalueeksi luetaan myös kallio- ja maaperäainesten varastointi muualla kuin kallio- ja maaperäainesten ottoalueiden yhteydessä.

Tähän eivät kuulu:

Maa-ainesten ottoalueisiin välittömästi liittyvät soran, kiviaineksen, louhintajätteen tai vastaavan varastointialueet (kuuluvat luokkaan D1. Kallio- ja maaperäainesten ottoalueet).

Louhintajätteen tms. varastointi kaivosalueiden ulkopuolelle, läjitys ja täyttöalueet (kuuluvat luokkaan G2. Muu maa tai luokitellaan ympäröivän maankäytön perusteella).

Varastoalueet, jotka liittyvät muun kuin teollisen toiminnan harjoittamiseen:

- jätehuoltoon liittyvät varastoalueet (kaatopaikat, romuttamot)
(kuuluvat luokkaan C21. Ympäristöhuollon alueet)

- vesihuoltoon liittyvät varastoalueet (lietealtaat vedenpuhdistuslaitoksilla, vesitornit)
(kuuluvat luokkaan C23. Vesihuollon alueet)

- maatalouden varastoalueet (kuuluvat luokkaan E22. Maatalouden rakennettu maa)

- veden varastointi vedenottoa tai vesivoiman tuotantoa tms. varten (kuuluvat luokkaan H. Vesialueet).

Vesivarastoalueet esimerkiksi tukkilauttojen säilytys järvessä (kuuluvat luokkaan H. Vesialueet).","Industri- och lagerområden är områden med industrilokaler, såsom fabriker eller industrihallar med anknytande lagerområden och hjälplokaler, där man bedriver eller kan bedriva industriell verksamhet. Som industriell verksamhet betraktas verksamhet i huvudgrupp D i NACE-näringsgrensindelningen.

Som industri- och lagerområden betraktas också separata lagerområden som används som lagringsplats för råmaterial som används inom industrin eller för halvfabrikat och slutprodukter e.d som produceras inom industrin.

Som industriell verksamhet betraktas tillverkning eller framställning av bl.a. livsmedel, textiler, trä- och pappersprodukter, bränslen, kemikalier, gummi- och plastprodukter, metallprodukter, icke-metalliska mineralprodukter, maskiner och fordon, eltekniska och optiska apparater och komponenter, grafiska produkter samt data-, bild- och ljudinspelningar.

Till industriell verksamhet räknas inte produktion av råvaror, t.ex. brytning eller utvinning av malm och mineraler (förädling av malm och mineraler räknas däremot med).

Som lagerområden betraktas också lagring av berg- och jordämne på något annat ställe än i samband med täktområdet.

Till klassen hör inte:

Lagerområden för grus, stenämne, utvinningsavfall eller motsvarande i täktområdets omedelbara närhet (de hör till klassen D1. Täktområden).

Lagring av utvinningsavfall e.d. utanför gruvområdet, högläggnings- och utfyllnadsområden (klassificeras enligt den omgivande markanvändningen eller i klass G2. Övriga marker).

Lagerområden som är förknippade med annan verksamhet än industri:

- lagerområden i anslutning till avfallshantering (avstjälpningsplatser, nedskrotningsanläggningar)
(de hör till klassen C21. Områden för miljöförsörjning)

- lagerområden i anslutning till vattenförsörjning (slambassänger vid vattenreningsverk, vattentorn)
(de hör till klassen C23. Områden för vattenförsörjning)

- lagerområden inom jordbruket
(de hör till klassen E22. Bebyggd jordbruksmark)

- magasinering av vatten för vattentäkt eller produktion av vattenkraft e.d.
(de hör till klassen H. Vattenområden)

Lagerområden i vattendrag, t.ex. lagring av stockflottar i sjöar (de hör till klassen H. Vattenområden).",,,2000-05-01,
C,4046774a-7d21-482c-be94-160cc0bd52d8,VALID,Tukitoimintojen alueet,Områden för stödfunktioner,Supporting activity areas,,,,,2000-05-01,
C1,fbf5336a-0a55-4895-9807-7999cf8c6ef8,VALID,Liikennealueet,Trafikområden,Traffic areas,,,,,2000-05-01,
C11,5548b9d2-38e5-4a5d-b604-81d0094b5814,VALID,Tieliikennealueet,Vägtrafikområden,Road traffic areas,"Tieliikennealueita ovat yleiset tiet, kadut ja kaavatiet sekä yksityistiet liitännäisalueineen.

Yleisiä teitä ovat päätiet ja muut yleiset tiet. Päätiet ovat valtion omistamia ja valtion varoin ylläpidettäviä merkitykseltään tärkeitä tiealueita, jotka muodostavat moottoriajoneuvoliikenteelle rakennetun valtakunnallisen päätieverkon. Pääteiksi luetaan valtatiet ja kantatiet liitännäisalueineen. Valtatiet yhdistävät maakunta- ja muita keskuksia toisiinsa ja toimivat tärkeimpinä ulkomaanliikenteen reitteinä. Kantatiet yhdistävät kaupunkikeskukset toisiinsa ja täydentävät valtatieverkkoa. Muiksi yleisiksi teiksi luetaan seututiet ja yhdystiet liitännäisalueineen. Seututiet yhdistävät kuntakeskuksia ja muita kuin kaupunkitaajamia toisiinsa sekä kytkevät merkittävimmät muut liikennettä synnyttävät kohteet ja yleiset rajanylityspaikat ylempiluokkaiseen tieverkkoon. Yhdystiet ovat muita yleisiä teitä kuin valta-, kanta- ja seututeitä.

Kadut ja kaavatiet ovat kuntien rakentamia ja ylläpitämiä, taajamien detaljikaava-alueilla sijaitsevia liikennealueita. Myös torit, katuaukiot tms. taajamien katuverkoston liitännäisalueet luetaan tähän luokkaan.

Yksityistiet ovat muiden kuin valtion ja kuntien ylläpitämiä, ajoneuvoliikenteelle tarkoitettuja, muita teitä kuin yleisiä teitä tai katu- ja kaavatiealueita.

Tiealueeksi luetaan varsinaisten ajorata- ja muiden liikenneratojen (kuten jalkakäytävä ja polkupyörätie) lisäksi tien säilymistä ja käyttämistä varten pysyvästi tarvittavat liitännäisalueet, rakenteet ja laitteet kuten pientareet, luiskat, pengermät, ojat, keski- väli- ja rajakaistat, näkymäalueet ja varalaskupaikat; valaistuslaitteet, kaiteet, rummut, riista-aidat, lautat laitureineen sekä erityyppiset autoliikennepaikat kuten levähdys-, kääntö-, lastaus-, kohtaamis- ja pysähtymispaikat. Myös pysyvät tierakennelmat kuten sillat luetaan tiealueeksi.

Tähän eivät kuulu:

Liikenteen suojaviheralueet liikennealueen ulkopuolella (kuuluvat luokkaan I2. Erityisalueet tai F. Metsätalouden maat).

Jäätiet tms. vesialuetta ylittävät tilapäiset kulkuväylät (kuuluvat luokkaan H. Vesialueet).

Rakenteilla olevat tiet (luokitellaan aiemman maankäytön perusteella tai luokkaan G2. Muu maa).

Liikennöintitoimintaan liittyvä lastinkäsittely ja varastointi, tieliikenneterminaalit tms. (kuuluvat luokkaan C15. Muut liikennealueet).","Vägtrafikområden är allmänna vägar, gator och planvägar samt enskilda vägar med anknytande områden.

Till allmänna vägar räknas huvudvägar och andra allmänna vägar. Huvudvägar är viktiga vägområden som ägs av staten och underhålls med statsmedel och som bildar det riksomfattande huvudvägsnät som är avsett för motorfordonstrafik. Som huvudvägar räknas riksvägar och stamvägar med anknytande områden. Riksvägar förbinder landskap och övriga centra med varandra och utgör de viktigaste rutterna för utrikestrafiken. Stamvägar förbinder stadscentra med varandra och kompletterar riksvägsnätet. Till övriga allmänna vägar räknas regionala vägar och förbindelsevägar med anknytande områden. Regionala vägar förbinder kommuncentra och andra tätorter än stadstätorter med varandra samt sammankopplar de viktigaste övriga objekt som åstadkommer trafik och allmänna gränsövergångsställen med vägnätet på högre nivå. Förbindelsevägar är andra allmänna vägar än riksvägar, stamvägar och regionala vägar.

Gator och planvägar är trafikområden som byggts och underhålls av kommuner och är belägna på detaljplaneområden i tätorter. Också torg, öppna platser e.d. anknytande områden i gatunätet i tätorter förs till denna klass.

Enskilda vägar är andra vägar som är avsedda för fordonstrafik än sådana allmänna gator eller gatu- och planvägsområden som underhålls av staten och kommuner.

Till vägområden räknas förutom de egentliga körbanorna och övriga trafikbanorna (såsom trottoarer och cykelvägar) också anknytande områden, konstruktioner och utrustning som varaktigt behövs för underhåll och användning av vägen. Det kan vara frågan om vägrenar, ramper, platåer, diken, mitt-, mellan- och gränsfiler, frisiktsområden och reservlandningsplatser; belysningsanordningar, räcken, trummor, viltstängslen, färjor med färjfästen samt olika typer av biltrafikställen såsom rast-, vänd-, last-, mötes- och uppehållsplatser. Också varaktiga vägkonstruktioner i stil med broar räknas till vägområden.

Till klassen hör inte:

Skyddsgrönområden för trafik utanför trafikområdet (de hör till klassen I2. Specialområden eller F. Skogsbruksmarker).

Isvägar e.d. tillfälliga vattenöverskridande trafikleder (de hör till klassen H. Vattenområden).

Vägar under byggnad (klassificeras enligt den tidigare markanvändningen eller i klass G2. Övriga marker).

Lasthantering och upplagringar i anslutning till trafikering, vägtrafikterminaler e.d. (de hör till klassen C15. Övriga trafikområden).",,,2000-05-01,
C12,94792c4c-2149-46a9-bece-361742309645,VALID,Rautatie- ja muut raideliikennealueet,Järnvägsområden och övriga områden för spårbunden trafik,Railway and other rail traffic areas,"Rautatiet ovat henkilö- ja/tai tavaraliikenteen käyttämiä, kiskoilla varustettuja kulkuväyliä sivuraiteineen ja liitännäisalueineen.

Tähän kuuluvat:

- Maanpäälliset henkilö- ja/tai tavaraliikennerautatiet ja metroradat sivuraiteineen

- ratapihat lastinkäsittelyalueineen ja tavaraterminaaleineen

- rautatie- ja metroasemat.

Teollisuusalueiden rautatiet tai pelkästään tavaraliikenteeseen käytetyt muut radat luetaan rautatiealueeksi mikäli ne on liitetty yleiseen rataverkkoon tai ovat muutoin merkitykseltään huomattavia. Museorautatiet ja käytöstä pois jääneet rata-alueet luetaan rautatiealueeksi mikäli ne ovat liikennöitävässä kunnossa.

Rautatiealueeksi luetaan varsinaisten rata-alueiden lisäksi radan piennaralueet, luiskat, ojat ja näkymäalueet sekä erityyppiset liikennepaikat kuten asema-, lastaus- ja pysäkkipaikat. Myös pysyvät rautatierakennelmat kuten rautatiesillat, veturihallit tms. luetaan rautatiealueeksi.

Tähän eivät kuulu:

Raitiovaunujen käyttämät raideliikennealueet ja raitiovaunuhallit (kuuluvat luokkaan C11. Tieliikennealueet).

Puutavarakuljetuksiin käytetyt erilliset ja vähäiset radat metsäalueilla (luokitellaan ympäröivän maankäytön perusteella).

Huvipuistojen, virkistysalueiden, ampumaratojen, kaivosalueiden tms. yksityisten alueiden erilliset ja vähäiset rata-alueet (luokitellaan ympäröivän maankäytön perusteella).","Järnvägar är rälsförsedda trafikleder med sidospår och anknytande områden som används för person- och/eller godstrafik.

Till klassen hör:

- Järnvägar ovan jord för person- och/eller godstrafik och metrobanor med sidospår

- bangårdar med lasthanteringsområden och godsterminaler

- järnvägs- och metrostationer.

Järnvägar på industriområden eller övriga banor som bara används för godstrafik räknas till järnvägsområden om de är anslutna till det allmänna bannätet eller annars har stor betydelse. Museijärnvägar och banområden som tagits ur bruk räknas till järnvägsområden om de är i trafikdugligt skick.

Som järnvägsområden betraktas förutom de egentliga banområdena också renområden vid banan, ramper, diken och frisiktsområden samt olika typer av trafikställen, såsom stations-, last- och parkeringsställen. Också varaktiga järnvägskonstruktioner, såsom järnvägsbroar, lokhallar e.d. räknas till järnvägsområden.

Till klassen hör inte:

Områden för spårbunden trafik som används av spårvagnar, spårvagnshallar (de hör till klassen C11. Vägtrafikområden).

Separata och små banor i skogsområden som används för virkestransporter klassificeras enligt den omgivande markanvändningen.

Separata och små banområden på nöjespark-, rekreations-, skjutbane- och gruvområden o.d. privata områden klassificeras enligt den omgivande markanvändningen.",,,2000-05-01,
C13,6b65e6d2-b029-4853-b776-760cd81281f6,VALID,Lentoliikenne- ja ilmailualueet,Flygtrafik- och luftfartsområden,Air traffic and aviation areas,"Lentoliikenne- ja ilmailualueet ovat liikenne-, sotilas- ja pienkoneiden ja sekä helikoptereiden ja muiden vastaavien lentolaitteiden käyttämiä pysyviä nousu-/laskeutumis- ja huoltoalueita.

Lentoliikennealueeksi luetaan varsinaisten kiitorata-alueiden lisäksi muut lentoliikennealueet kuten lentoasema-, lastinkäsittely-/lentoterminaali-, lentokonehalli- ja muut huoltoalueet. 

Tähän kuuluvat:

Lentokentät kiitorata-, huolto- ja lastinkäsittely/tavaraterminaalialueineen. Lentoasemat niihin liittyvine apualueineen. Lentokenttäalueeksi luetaan koko lentokentän aidattu alue ruohokenttineen ja rullausteineen. Myös pienkone- ja harrasteilmailukentät.

Tähän eivät kuulu:

Rakenteilla olevat lentokentät, lentoliikenne- ja ilmailualueet (luokitellaan aiemman maankäytön perusteella tai luokkaan G2. Muu maa).

Lentokenttien suoja-alueet tms. metsäalueilla (luokitellaan ympäröivän maankäytön perusteella). 

Lentokoneiden varalaskupaikat (kuuluvat luokkaan C1. Tieliikennealueet).

Muut tilapäiset laskeutumispaikat, esimerkiksi pienet metsänlannoituskentät tms. metsäalueilla (luokitellaan ympäröivän maankäytön perusteella tai muihin liikennealueisiin).

Helikopterien laskeutumispaikat esimerkiksi rakennusten katoilla (luokitellaan ympäröivän maankäytön perusteella).","Flygtrafik- och luftfartsområden är varaktiga start-/landnings- och serviceområden som används av trafik-, militär- och småplan samt helikoptrar och motsvarande flygfarkoster.

Som flygtrafikområden betraktas förutom de egentliga rullbanorna också övriga flygtrafikområden, såsom flygplats-, lasthanterings-/flygterminal-, hangarområden och övriga serviceområden.

Till klassen hör:

Flygfält med rullbane-, service- och lasthanterings-/godsterminalområden. Flygplatser med anknytande hjälpområden. Till ett flygfältsområde räknas hela det inhägnade flygfältet med gräsplaner och rullbanor. Också småplans- och sportflygfält.

Till klassen hör inte:

Flygfält, flygtrafik- och luftfartsområden under byggnad (klassificeras enligt den omgivande markanvändningen eller i klass G2. Övriga marker).

Skyddsområden e.d. vid flygfält (klassificeras enligt den omgivande markanvändningen).

Reservlandningsplatser för flygplan (de hör till klassen C11. Vägtrafikområden).

Övriga tillfälliga landningsplatser, t.ex. små skogsgödslingsfält e.d. (klassificeras enligt den omgivande markanvändningen eller i övriga trafikområden).

Landningsplatser för helikoptrar t.ex. på byggnaders tak (klassificeras enligt den omgivande markanvändningen).",,,2000-05-01,
C14,347b59fb-d549-421c-8f2e-5dc51f074823,VALID,Satama-alueet,Hamnområden,Port areas,"Satama-alueet ovat sisävesi-, kanava- tai meriliikenteen matkustaja-, rahti- tai sotalaivojen käyttämiä pysyviä rantautumis- ja huoltoalueita.

Tähän kuuluvat:

Matkustajaliikenne-, tavara-, sotilas- ja teollisuussatamat huolto- ja lastinkäsittely-/tavara terminaalialueineen. Öljy- ja hiilisatamissa varastointialueet luetaan satama-alueeksi. Samoin tavarasatamissa kontti- tms. lastinkäsittelyalueet.

Satama-alueeksi luetaan varsinaisten laiturialueiden lisäksi myös niiden matkustaja-, lastinkäsittely-/satamaterminaali-, pysäköinti-, tullaus- ja huoltoalueet.

Tähän eivät kuulu:

Satama-alueiden vesialueet lukuunottamatta suljettuja altaita tms. (kuuluvat luokkaan H. Vesialueet).

Huvivenesatamat (kuuluvat luokkaan A32. Urheilu- ja virkistyspalvelujen alueet).

Telakka-alueet altaineen (kuuluvat luokkaan B2. Teollisuus- ja varastoalueet).","Hamnområden är varaktiga landstignings- och serviceområden som används av passagerar-, frakt- eller militärfartyg i insjö-, kanal- eller havstrafik.

Till klassen hör:

Passagerartrafik-, godstrafik-, militär- och industrihamnar med service- och godshanterings/godsterminalområden. I olje- och kolhamnar räknas lagerområden till hamnområden. Detsamma gäller container- och lasthanteringsområden o.d. i godshamnar.

Som hamnområden betraktas förutom de egentliga kajområdena också anknytande passagerar-, godshanterings-/hamnterminal-, parkerings-, tull- och serviceområden.

Till klassen hör inte:

Vattnen i hamnområden med undantag av slutna bassänger e.d. (de hör till klassen H. Vattenområden).

Fritidsbåtshamnar (de hör till klassen A32. Områden för idrotts- och rekreationsanläggningar).

Varvsområden med bassänger (de hör till klassen B2. Industri- och lagerområden).",,,2000-05-01,
C15,dc386c20-0af7-4631-aed2-636b9f063b88,VALID,Muut liikennealueet,Övriga trafikområden,Other traffic areas,"Muut edellä luokittelemattomat liikennealueet.

Tähän kuuluvat:

Tieliikenneterminaalit (tavara- ja henkilöliikenteen), huoltoasemat, ns. kylmäasemat, erilliset pysäköintialueet, paikoitusrakennukset, testiradat (ellei voi pitää urheilu- ja vapaa-ajan alueena) jne.

Tähän eivät kuulu:

Ajoneuvojen pysyvään tai pitkäaikaiseen varastointiin tarkoitetut erilliset ja suljetut alueet: huolintaliikkeiden ajoneuvokentät tms. (kuuluvat luokkaan B2. Teollisuus- ja varastoalueet).

Torit yms. ensisijaisesti muuhun kuin pysäköintiin tarkoitetut, avoimet alueet (kuuluvat luokkaan C11. Tieliikennealueet).","Övriga trafikområden som inte klassificerats ovan.

Till klassen hör:

- Vägtrafikterminaler (för gods- och persontrafik), servicestationer, s.k. kallstationer, separata parkeringsområden, parkeringsbyggnader, testbanor (om de inte kan betraktas som idrotts- och fritidsområden) osv.

Till klassen hör inte:

Separata och slutna områden som är avsedda för varaktig eller långvarig lagring av fordon: speditionsföretags fordonsfält e.d. (de hör till klassen B2. Industri- och lagerområden).

Torg e.d. öppna områden som i första hand är avsedda för annat än parkering (de hör till klassen C11. Vägtrafikområden).",,,2000-05-01,
C2,fe2ec3f9-1fc4-49ff-9056-b3812f097d7e,VALID,Yhdyskuntateknisen huollon alueet,Områden för samhällsteknisk försörjning,Infrastructure maintenance areas,,,,,2000-05-01,
